declarationRequestNumber,region,stateAbbreviation,state,tribalRequest,declarationRequestDate,declarationRequestType,incidentName,requestedIncidentTypes,requestedIncidentBeginDate,requestedIncidentEndDate,currentRequestStatus,requestStatusDate,ihProgramRequested,iaProgramRequested,paProgramRequested,hmProgramRequested,incidentId,incidentBeginDate,id
23,10,ID,Idaho                         ,0,2000-03-03T00:00:00.000Z,Major Disaster,ID-ROCKSLIDES-02-11-2000,Mud/Landslide,2000-01-30T00:00:00.000Z,,Turndown,2000-03-17T00:00:00.000Z,0,1,0,1,2000021103,2000-01-30T00:00:00.000Z,cec76619-d60a-47c0-91d5-2a76cc5f3b84
40,6,OK,Oklahoma                      ,0,2000-05-10T00:00:00.000Z,Major Disaster,OK-Tulsa Flooding-5-6-00,Flood,2000-05-05T00:00:00.000Z,2000-05-08T00:00:00.000Z,Turndown,2000-05-24T00:00:00.000Z,0,1,0,1,2000050701,2000-05-06T00:00:00.000Z,f0d60b6c-0d14-40e7-bc88-cd17f61b69c8
46,6,LA,Louisiana                     ,0,2000-06-05T00:00:00.000Z,Major Disaster,LA-Tornado-North Louisiana-4/23/00,Tornado,2000-04-23T00:00:00.000Z,2000-04-24T00:00:00.000Z,Turndown,2000-06-21T00:00:00.000Z,0,1,0,1,2000042401,2000-04-23T00:00:00.000Z,af072463-ca99-4eac-b951-4332b17eb7f8
51,4,NC,North Carolina                ,0,2000-06-06T00:00:00.000Z,Major Disaster,NC -Severe Storms and Possible Tornados,Severe Storm,2000-05-25T00:00:00.000Z,2000-05-25T00:00:00.000Z,Turndown,2000-06-23T00:00:00.000Z,0,0,1,1,2000052601,2000-05-25T00:00:00.000Z,a399fb9d-1d03-49a3-a790-1429b8999027
56,5,IL,Illinois                      ,0,2000-06-15T00:00:00.000Z,Major Disaster,"IL-Severe Storms, Tornadoes & Flooding-05/19/2000",Severe Storm,2000-05-18T00:00:00.000Z,2000-05-26T00:00:00.000Z,Turndown,2000-06-27T00:00:00.000Z,0,0,1,1,2000051901,2000-05-19T00:00:00.000Z,fe437fdc-3030-4e88-aa31-15ac3d48408a
79,6,TX,Texas                         ,0,2000-07-27T00:00:00.000Z,Emergency,TX-Fire Emergency Request-07-27-00,Fire,2000-07-27T00:00:00.000Z,,Turndown,2000-09-20T00:00:00.000Z,0,0,1,0,2000073101,2000-07-27T00:00:00.000Z,396cf3b4-846d-4274-8084-2242fb913a29
93,1,CT,Connecticut                   ,0,2000-08-17T00:00:00.000Z,Major Disaster,CT Heavy Rains and Flooding 8-11-00,Severe Storm,2000-08-11T00:00:00.000Z,2000-08-12T00:00:00.000Z,Turndown,2000-09-21T00:00:00.000Z,0,1,0,1,2000081404,2000-08-11T00:00:00.000Z,4989ee38-0bd9-4cbe-9650-f7bfcae1e1e3
138,6,AR,Arkansas                      ,0,2000-09-08T00:00:00.000Z,Emergency,AR-Extreme Fire Hazard-8/25/00,Fire,2000-08-25T00:00:00.000Z,,Turndown,2000-09-20T00:00:00.000Z,0,0,1,0,2000090803,2000-08-25T00:00:00.000Z,eebf4e57-fa9d-4c41-afc7-20f5810b87da
154,6,OK,Oklahoma                      ,0,2000-09-22T00:00:00.000Z,Emergency,OK-Severe Fire Threat-8/29/00,Fire,2000-09-15T00:00:00.000Z,,Turndown,2000-10-11T00:00:00.000Z,0,0,1,0,2000092205,2000-09-15T00:00:00.000Z,24360ae8-75bd-4290-959f-a5142a102b41
155,5,WI,Wisconsin                     ,0,2000-09-22T00:00:00.000Z,Major Disaster," Wi-Eau Claire, Severe Storms and Flooding",Severe Storm,2000-09-10T00:00:00.000Z,2000-09-11T00:00:00.000Z,Turndown,2000-10-20T00:00:00.000Z,0,0,1,1,2000091401,2000-09-10T00:00:00.000Z,b6e4f2b4-dc79-4fc0-bf3b-0a9b150357eb
162,2,NY,New York                      ,0,2000-10-10T00:00:00.000Z,Major Disaster,NY - Heavy Rains and Thunderstorms,Severe Storm,2000-09-02T00:00:00.000Z,2000-09-09T00:00:00.000Z,Turndown,2000-10-19T00:00:00.000Z,0,1,1,1,2000091202,2000-09-02T00:00:00.000Z,e9fa202a-05cd-4fe6-be17-c1c8b82d06de
1006,2,NY,New York                      ,0,2001-01-16T00:00:00.000Z,Major Disaster,"NY Rain Dec17, 2000",Severe Storm,2000-12-16T00:00:00.000Z,2000-12-17T00:00:00.000Z,Turndown,2001-04-03T00:00:00.000Z,0,1,1,1,2000121901,2000-12-16T00:00:00.000Z,6b4df366-f0ce-4c87-ba27-978f1b5d6d94
1010,6,TX,Texas                         ,0,1998-09-02T00:00:00.000Z,Major Disaster,TX-DUA-Drought-9-21-98,Drought,1998-07-23T00:00:00.000Z,1998-09-21T00:00:00.000Z,Turndown,1998-11-10T00:00:00.000Z,0,0,0,0,2001020501,1998-07-23T00:00:00.000Z,a308a636-93f6-401a-bbbf-c462fbaeffca
1027,6,AR,Arkansas                      ,0,2001-03-02T00:00:00.000Z,Major Disaster,AR-Tornadoes-2-24-01,Tornado,2001-02-24T00:00:00.000Z,2001-02-25T00:00:00.000Z,Turndown,2001-03-16T00:00:00.000Z,0,1,0,0,2001022602,2001-02-24T00:00:00.000Z,0de22a92-f7ea-41b1-9b4c-7c456556b082
1029,6,OK,Oklahoma                      ,0,2001-03-15T00:00:00.000Z,Major Disaster,OK-Ice Storm-1-27-01,Severe Ice Storm,2001-01-27T00:00:00.000Z,2001-01-29T00:00:00.000Z,Turndown,2001-04-03T00:00:00.000Z,0,0,1,1,2001030701,2001-01-27T00:00:00.000Z,d3f02513-08a5-4443-9db8-3c5121893f82
1035,6,TX,Texas                         ,0,2001-05-30T00:00:00.000Z,Major Disaster,TX-Severe Weather-2-23-01,Severe Storm,2001-02-14T00:00:00.000Z,2001-03-30T00:00:00.000Z,Turndown,2001-06-28T00:00:00.000Z,0,0,1,1,2001022701,2001-02-14T00:00:00.000Z,f8f5805c-6bd4-40e9-9282-1caf2c9dd6f4
1038,1,RI,Rhode Island                  ,0,2001-04-20T00:00:00.000Z,Major Disaster,New England Nor'Easter/Flooding-03/21/2001,Flood,2001-03-22T00:00:00.000Z,2001-03-30T00:00:00.000Z,Turndown,2001-06-21T00:00:00.000Z,0,0,0,1,2001032301,2001-03-21T00:00:00.000Z,bf07ccef-9c0d-4bbe-ae5a-76a02e95494f
1078,4,FL,Florida                       ,0,2001-08-06T00:00:00.000Z,Major Disaster,R4-TS Barry,Hurricane,2001-08-02T00:00:00.000Z,,Turndown,2001-08-14T00:00:00.000Z,0,1,0,0,2001080301,2001-08-02T00:00:00.000Z,5ecac29d-6b57-4acf-b9ca-e5f579aa18b3
1081,5,IL,Illinois                      ,0,2001-08-14T00:00:00.000Z,Major Disaster,IL-Chigago Flash Flood-08/02/2110,Flood,2001-08-02T00:00:00.000Z,2001-08-02T00:00:00.000Z,Turndown,2001-08-27T00:00:00.000Z,0,1,0,1,2001080302,2001-08-02T00:00:00.000Z,4d11c149-a513-43b1-bb5e-ca93814ef977
1095,1,MA,Massachusetts                 ,0,2001-10-02T00:00:00.000Z,Emergency,Fires and Explosions,Fire,2001-09-11T00:00:00.000Z,,Turndown,2001-10-31T00:00:00.000Z,0,0,1,0,2001091102,2001-09-11T00:00:00.000Z,d0b895e6-5bae-4236-acb7-9ab8c3a7b740
1096,3,MD,Maryland                      ,0,2001-10-02T00:00:00.000Z,Major Disaster,Tornadoes and Severe Storms,Tornado,2001-09-24T00:00:00.000Z,2001-09-24T00:00:00.000Z,Turndown,2001-10-24T00:00:00.000Z,0,1,1,1,2001092501,2001-09-24T00:00:00.000Z,8affc73b-bb76-4c2b-94fb-36dbfd38121a
1097,6,TX,Texas                         ,0,2001-10-03T00:00:00.000Z,Major Disaster,TX-Queen Isabel Bridge Collapse-9-15-01,Other,2001-09-15T00:00:00.000Z,,Turndown,2001-12-21T00:00:00.000Z,0,0,0,0,2001091501,2001-09-15T00:00:00.000Z,e455f579-f777-47a7-ad5e-116092733a08
1099,9,FM,Federated States of Micronesia,0,2001-09-10T00:00:00.000Z,Major Disaster,FM-Toxic Substance-08-20-2001,Toxic Substances,2001-07-01T00:00:00.000Z,2001-08-26T00:00:00.000Z,Turndown,2001-10-29T00:00:00.000Z,0,0,1,0,2001082001,2001-08-20T00:00:00.000Z,395fba2a-c1fa-4056-a581-42aecc944bc8
1101,4,FL,Florida                       ,0,2001-10-17T00:00:00.000Z,Emergency,Fires and Explosions,Fire,2001-09-11T00:00:00.000Z,,Turndown,2001-11-07T00:00:00.000Z,0,0,1,0,2001091102,2001-09-11T00:00:00.000Z,1353848d-e300-46e4-9062-e43fc5b534b5
1102,6,TX,Texas                         ,0,2001-10-25T00:00:00.000Z,Major Disaster,TX-Severe Storms & Tornadoes-10-12-01,Severe Storm,2001-10-12T00:00:00.000Z,2001-10-13T00:00:00.000Z,Turndown,2001-11-27T00:00:00.000Z,0,1,1,1,2001101303,2001-10-12T00:00:00.000Z,c18b300f-cf22-40d2-aa4d-9b2894af181b
1114,6,TX,Texas                         ,0,2001-11-30T00:00:00.000Z,Major Disaster,TX-Severe Storms & Flooding-11-15-01,Severe Storm,2001-11-15T00:00:00.000Z,2001-11-18T00:00:00.000Z,Turndown,2002-01-09T00:00:00.000Z,0,1,1,1,2001111601,2001-11-15T00:00:00.000Z,78704af2-4881-4468-9c56-a7b29a2a3e25
1115,4,FL,Florida                       ,0,2001-12-04T00:00:00.000Z,Major Disaster,Red Tide (micro algae Karenia brevis),Other,2001-10-16T00:00:00.000Z,,Turndown,2002-03-13T00:00:00.000Z,0,0,0,0,2001120601,2001-10-16T00:00:00.000Z,55a8f278-25cb-4167-9dd6-87255c14ae83
2017,4,TN,Tennessee                     ,0,2002-02-06T00:00:00.000Z,Major Disaster,TN - Severe Weather System with Flooding,Severe Storm,2002-01-23T00:00:00.000Z,,Turndown,2002-02-19T00:00:00.000Z,0,0,1,0,2002012401,2002-01-22T00:00:00.000Z,411210ed-9723-4df8-b86e-439f62cd2507
2020,4,GA,Georgia                       ,0,2002-02-21T00:00:00.000Z,Emergency,GA-Unburied and Uncremated Bodies,Other,2002-02-15T00:00:00.000Z,,Turndown,2002-02-26T00:00:00.000Z,0,0,1,0,2002021901,2002-02-17T00:00:00.000Z,2d41e65a-1f4c-4f61-81c9-03a8c09d8d39
2027,1,ME,Maine                         ,0,2002-04-09T00:00:00.000Z,Major Disaster,Drought,Drought,2001-06-01T00:00:00.000Z,,Turndown,2002-07-19T00:00:00.000Z,0,1,1,1,2002032702,2002-06-01T00:00:00.000Z,afdc62bc-7794-4bd9-865e-c720a2f83014
2029,5,IL,Illinois                      ,0,2002-04-25T00:00:00.000Z,Major Disaster,Il-Tornado-4 21 02,Tornado,2002-04-21T00:00:00.000Z,2002-04-21T00:00:00.000Z,Turndown,2002-05-07T00:00:00.000Z,0,1,1,1,2002042201,2002-04-21T00:00:00.000Z,1bc5a01d-0244-4e15-a756-73bf0697ad2d
2052,6,NM,New Mexico                    ,0,2002-06-03T00:00:00.000Z,Emergency,NM-Wildfire Threat-3-24-02,Fire,2002-03-24T00:00:00.000Z,2002-07-19T00:00:00.000Z,Turndown,2002-06-17T00:00:00.000Z,0,0,1,0,2002052901,2002-03-24T00:00:00.000Z,086788e4-ed1f-46d6-8d8a-31cbb238b7ba
2084,5,IL,Illinois                      ,0,2002-07-01T00:00:00.000Z,Major Disaster,IL-Flooding-06/04-05/02,Flood,2002-06-03T00:00:00.000Z,2002-06-05T00:00:00.000Z,Turndown,2002-07-19T00:00:00.000Z,0,0,1,1,2002061902,2002-06-04T00:00:00.000Z,8fa98e68-7533-43c0-aa11-a0b8333d97a7
2094,7,NE,Nebraska                      ,0,2002-07-15T00:00:00.000Z,Major Disaster,Nebraska severe storms,Severe Storm,2002-07-06T00:00:00.000Z,2002-07-06T00:00:00.000Z,Turndown,2002-07-29T00:00:00.000Z,0,1,0,1,2002070601,2002-07-06T00:00:00.000Z,4df3a43a-1441-4f67-8da6-ed6ddffb0b7a
2106,8,ND,North Dakota                  ,0,2002-08-01T00:00:00.000Z,Emergency,ND - Wildfire Threat,Fire,2002-02-22T00:00:00.000Z,,Turndown,2002-09-05T00:00:00.000Z,0,0,1,0,2002080102,2002-02-22T00:00:00.000Z,8ae9a169-d747-4485-90f4-9032f4cbdddf
2107,6,LA,Louisiana                     ,0,2002-08-05T00:00:00.000Z,Emergency,LA-West Nile Virus-8-5-02,Other,2002-06-01T00:00:00.000Z,,Turndown,2003-04-25T00:00:00.000Z,0,0,1,0,2002080601,2002-06-01T00:00:00.000Z,be49146b-0a29-40cc-9c7a-40218ffaecc3
2119,4,MS,Mississippi                   ,0,2002-08-16T00:00:00.000Z,Emergency,MS - West Nile Virus 8-16-02,Other,2002-07-19T00:00:00.000Z,,Turndown,2003-04-25T00:00:00.000Z,0,0,1,0,2002081601,2002-07-19T00:00:00.000Z,a92c0a79-821c-452e-bb93-1fe1aadb63fb
2121,2,NJ,New Jersey                    ,0,2002-08-14T00:00:00.000Z,Emergency,NJ-Severe Storm Power Outage 8-02-02,Severe Storm,2002-08-02T00:00:00.000Z,,Turndown,2003-01-08T00:00:00.000Z,0,0,1,0,2002080901,2002-08-02T00:00:00.000Z,9da211e8-f5aa-4ff2-9272-123b7283a366
2122,9,AZ,Arizona                       ,0,2002-08-06T00:00:00.000Z,Major Disaster,Monsoon 7-09-2002,Other,2002-07-09T00:00:00.000Z,2002-07-15T00:00:00.000Z,Turndown,2002-08-30T00:00:00.000Z,0,1,1,1,2002071703,2002-07-09T00:00:00.000Z,b10e470c-5634-4288-b3e3-925d36914d67
2124,8,WY,Wyoming                       ,0,2002-08-30T00:00:00.000Z,Major Disaster,WY Flooding 08/27/02,Flood,2002-08-27T00:00:00.000Z,2002-08-28T00:00:00.000Z,Turndown,2002-09-18T00:00:00.000Z,0,0,1,1,2002082702,2002-08-27T00:00:00.000Z,d22622dc-5f4a-4521-8f37-4983d030dc0a
2132,3,VA,Virginia                      ,0,2002-08-23T00:00:00.000Z,Major Disaster,VA - Orange County Drought,Drought,2002-08-26T00:00:00.000Z,,Turndown,2003-01-21T00:00:00.000Z,0,0,1,0,2002092301,2002-08-26T00:00:00.000Z,5073de81-095f-42f5-b5a9-145638a4f56f
2140,4,FL,Florida                       ,0,2002-10-08T00:00:00.000Z,Emergency,Hurricane Isidore-9-23-02,Hurricane,2002-09-26T00:00:00.000Z,2002-09-27T00:00:00.000Z,Turndown,2002-11-18T00:00:00.000Z,0,0,1,0,2002092302,2002-09-21T00:00:00.000Z,188eca53-5f5e-4497-bed8-1fe05bd5145e
2154,1,CT,Connecticut                   ,0,2002-12-11T00:00:00.000Z,Major Disaster,"CT-Winter Storm -Freezing rain, sleet & snow",Severe Ice Storm,2002-11-16T00:00:00.000Z,2002-11-18T00:00:00.000Z,Turndown,2003-01-08T00:00:00.000Z,0,0,1,1,2002112001,2002-11-16T00:00:00.000Z,f18ee119-85b4-4271-bebb-40a2eaa20feb
2156,4,MS,Mississippi                   ,0,2002-12-23T00:00:00.000Z,Major Disaster,MS-Severe Storms and Tornado,Tornado,2002-12-18T00:00:00.000Z,2002-12-19T00:00:00.000Z,Turndown,2003-02-14T00:00:00.000Z,0,0,1,1,2002122001,2002-12-19T00:00:00.000Z,500ed2b4-1250-42fb-9b56-eb242c717f25
3002,10,ID,Idaho                         ,0,2000-02-18T00:00:00.000Z,Emergency,ID-ROCKSLIDES-02-11-2000,Mud/Landslide,2000-01-30T00:00:00.000Z,2000-02-11T00:00:00.000Z,Turndown,2000-03-17T00:00:00.000Z,0,0,0,0,2000021103,2000-01-30T00:00:00.000Z,6d8ada28-8ccf-4d98-87c8-bc836b4b11c4
3003,9,GU,Guam                          ,0,1999-01-14T00:00:00.000Z,Emergency,FIRE AT THE ORDOT LANDFILL,Fire,1998-12-25T00:00:00.000Z,1998-12-25T00:00:00.000Z,Turndown,1999-04-14T00:00:00.000Z,0,0,1,0,99016,1998-12-25T00:00:00.000Z,1576ad65-61be-414c-95c8-b63ef694f5ee
3013,1,RI,Rhode Island                  ,0,2003-02-24T00:00:00.000Z,Major Disaster,RI Nightclub Fire,Fire,2003-02-20T00:00:00.000Z,,Turndown,2003-04-23T00:00:00.000Z,1,0,1,0,2003022102,2003-02-20T00:00:00.000Z,8f298817-85ab-4f10-863f-cc537c67471c
3028,4,FL,Florida                       ,0,2003-03-20T00:00:00.000Z,Major Disaster,FL - Sustained severe freeze events,Freezing,2002-11-01T00:00:00.000Z,2003-02-28T00:00:00.000Z,Turndown,2003-04-28T00:00:00.000Z,0,0,0,1,2003032101,2002-11-01T00:00:00.000Z,79cb2ec7-7d3e-4b97-8b0e-597124bf020e
3031,1,NH,New Hampshire                 ,0,2003-04-09T00:00:00.000Z,Major Disaster,Mt. Washington Structural Fire,Other,2003-02-09T00:00:00.000Z,2003-02-09T00:00:00.000Z,Turndown,2003-06-20T00:00:00.000Z,0,0,1,0,2003021902,2003-02-09T00:00:00.000Z,d051feac-5380-49ef-9702-c651c6171b5e
3034,9,CA,California                    ,0,2003-04-16T00:00:00.000Z,Emergency,CA - Severe Fire Threat,Drought,2002-03-01T00:00:00.000Z,,Turndown,2003-12-22T00:00:00.000Z,0,0,1,0,2003042301,2003-04-16T00:00:00.000Z,56798ae3-047c-4c1e-a59e-9b2d5c9e4787
3048,6,OK,Oklahoma                      ,0,1998-12-10T00:00:00.000Z,Major Disaster,SEVERE STORMS AND FLOODING,Severe Storm,1998-10-31T00:00:00.000Z,1998-11-02T00:00:00.000Z,Turndown,1999-01-08T00:00:00.000Z,0,0,1,1,99005,1998-10-31T00:00:00.000Z,57ce0f42-69bf-4cc2-93cf-7078dc8f2511
3051,5,MI,Michigan                      ,0,2003-06-04T00:00:00.000Z,Major Disaster,MI-Dam Failure 05/14/2003,Dam/Levee Break,0003-05-10T00:00:00.000Z,2003-05-26T00:00:00.000Z,Turndown,2003-09-24T00:00:00.000Z,0,0,1,1,2003051501,2003-05-14T00:00:00.000Z,4e897c31-15a2-4cce-9c80-a87cbe6cd02b
3057,9,AZ,Arizona                       ,0,2003-06-12T00:00:00.000Z,Emergency,AZ-Wildfire-05-27-2003,Fire,2002-04-01T00:00:00.000Z,,Turndown,2002-01-08T00:00:00.000Z,0,0,1,0,2003052801,2003-05-27T00:00:00.000Z,1a2d062b-43b9-4c77-a1d5-b2170b5a520b
3062,4,MS,Mississippi                   ,0,2003-06-12T00:00:00.000Z,Major Disaster,MS Flooding and Damaging Winds,Severe Storm,2003-05-17T00:00:00.000Z,,Turndown,2003-08-28T00:00:00.000Z,0,0,1,1,2003063002,2003-05-17T00:00:00.000Z,a96f94f7-72ba-4fb8-8f38-232d3dad5357
3064,6,LA,Louisiana                     ,0,2003-07-09T00:00:00.000Z,Major Disaster,TS  Bill,Severe Storm,2003-06-30T00:00:00.000Z,,Turndown,2003-09-12T00:00:00.000Z,1,0,1,1,2003063003,2003-06-29T00:00:00.000Z,83987732-d556-44f2-961b-e894edcf103d
3089,4,FL,Florida                       ,0,2003-08-13T00:00:00.000Z,Major Disaster,FL-Severe Storms and Tornadoes,Tornado,2003-08-07T00:00:00.000Z,2003-08-08T00:00:00.000Z,Turndown,2003-08-29T00:00:00.000Z,1,0,0,1,2003081301,2003-08-07T00:00:00.000Z,d7b85f75-1630-4dc3-ab78-77d35242eb3d
3102,4,KY,Kentucky                      ,0,2003-08-29T00:00:00.000Z,Major Disaster,KY - Severe Storms and flooding,Severe Storm,2003-08-22T00:00:00.000Z,2003-08-22T00:00:00.000Z,Turndown,2003-10-07T00:00:00.000Z,1,0,0,1,2003082802,2003-08-22T00:00:00.000Z,915a7a2e-e2d1-4321-8ce3-e27b3c805a9a
3118,2,NJ,New Jersey                    ,0,2003-10-03T00:00:00.000Z,Major Disaster,Hurricane Isabel,Hurricane,2003-09-18T00:00:00.000Z,,Turndown,2003-11-06T00:00:00.000Z,0,0,1,1,2003091101,2003-09-18T00:00:00.000Z,79b26bab-17b4-4cd5-ac2c-675e0c083b17
3119,6,TX,Texas                         ,0,2003-10-21T00:00:00.000Z,Major Disaster,TX-Severe Storms10-12-03,Severe Storm,2003-09-18T00:00:00.000Z,2003-10-20T00:00:00.000Z,Turndown,2003-11-06T00:00:00.000Z,1,0,0,1,2003101701,2003-10-12T00:00:00.000Z,d503136a-a316-4d21-86cb-38dc35547455
3139,6,TX,Texas                         ,0,2003-11-21T00:00:00.000Z,Major Disaster,TX-Severe Storms and Tornadoes-11-17-2003,Severe Storm,2003-11-17T00:00:00.000Z,2003-11-18T00:00:00.000Z,Turndown,2003-12-04T00:00:00.000Z,1,0,0,1,2003111802,2003-11-17T00:00:00.000Z,8dec73dc-96dc-400e-890b-36b43b5a0bc7
3141,3,PA,Pennsylvania                  ,0,2003-12-05T00:00:00.000Z,Major Disaster,VA Severe Storms and Flooding 11/18/2003,Flood,2003-11-19T00:00:00.000Z,,Turndown,2004-02-10T00:00:00.000Z,1,0,0,1,2003112401,2003-11-18T00:00:00.000Z,bb018036-8cf0-4f02-8180-282f0e722d1a
4010,3,WV,West Virginia                 ,0,2004-02-04T00:00:00.000Z,Major Disaster,WV Flood Jan 2004,Flood,2004-01-03T00:00:00.000Z,2004-01-30T00:00:00.000Z,Turndown,2004-03-04T00:00:00.000Z,0,0,1,1,2004021704,2004-01-03T00:00:00.000Z,bcb2fafd-aa5a-4354-8f38-3cb251150a9c
4013,10,WA,Washington                    ,0,2004-02-06T00:00:00.000Z,Major Disaster,RX-WA-Winter Storm,Severe Ice Storm,2004-01-06T00:00:00.000Z,2004-01-10T00:00:00.000Z,Turndown,2004-05-28T00:00:00.000Z,0,0,1,1,2004020401,2004-02-04T00:00:00.000Z,5f2bc2bf-c051-4b3f-9e34-f39d95e50120
4015,4,MS,Mississippi                   ,0,2004-03-19T00:00:00.000Z,Major Disaster,MS - Big Bay Lake Dam Failure,Dam/Levee Break,2004-03-12T00:00:00.000Z,2004-03-12T00:00:00.000Z,Turndown,2004-04-05T00:00:00.000Z,1,0,0,1,2004031501,2004-03-12T00:00:00.000Z,2a1b79d3-6f84-4ccb-b019-93bc32fe7e7c
4028,5,MI,Michigan                      ,0,2004-04-30T00:00:00.000Z,Major Disaster,MI-Emerald Ash Borer Infestation,Other,2004-04-30T00:00:00.000Z,,Turndown,2004-07-26T00:00:00.000Z,0,0,1,1,2004050301,2004-04-30T00:00:00.000Z,a5a91a6d-14d7-46ff-9d19-23a521059173
4030,6,LA,Louisiana                     ,0,2004-05-11T00:00:00.000Z,Major Disaster,LA-Flooding-4-25-04,Flood,2004-04-25T00:00:00.000Z,,Turndown,2004-08-18T00:00:00.000Z,1,0,0,1,2004042802,2004-04-25T00:00:00.000Z,6d2f7da0-29e8-4724-b4e8-90eb7db5f1f5
4091,4,NC,North Carolina                ,0,2004-08-20T00:00:00.000Z,Major Disaster,Tropical Storm Bonnie and Hurricane Charley,Hurricane,2004-08-12T00:00:00.000Z,2004-08-15T00:00:00.000Z,Turndown,2004-12-01T00:00:00.000Z,1,0,1,1,2004081102,2004-08-11T00:00:00.000Z,82460789-3c0a-414e-b37c-845fa39e17af
4101,5,OH,Ohio                          ,0,2004-09-07T00:00:00.000Z,Major Disaster,Severe Storms and Flooding,Flood,2004-08-27T00:00:00.000Z,2004-08-28T00:00:00.000Z,Turndown,2004-09-20T00:00:00.000Z,1,0,1,1,2004083002,2004-08-27T00:00:00.000Z,92250899-ebdf-40e8-acf9-bc4e78df4915
4123,4,GA,Georgia                       ,0,2004-09-26T00:00:00.000Z,Major Disaster,Severe Storms & Flooding-remnants of Hur. Jeanne,Other,2004-09-26T00:00:00.000Z,,Turndown,2004-11-09T00:00:00.000Z,1,0,1,1,2004091501,2004-09-28T00:00:00.000Z,fc16e1be-27f6-4103-9082-c36a9a6f9cfd
4128,3,MD,Maryland                      ,0,2004-09-29T00:00:00.000Z,Major Disaster,Hurricane Ivan,Fire,2004-09-12T00:00:00.000Z,2004-09-23T00:00:00.000Z,Turndown,2004-10-18T00:00:00.000Z,1,0,0,1,2004090502,2004-09-14T00:00:00.000Z,5baf9665-a498-46eb-b62f-b6a6d42e2d74
4132,7,IA,Iowa                          ,0,2004-10-04T00:00:00.000Z,Major Disaster,Severe storms and flooding,Severe Storm,2004-09-14T00:00:00.000Z,2004-09-21T00:00:00.000Z,Turndown,2004-11-05T00:00:00.000Z,1,0,0,1,2004091601,2004-09-14T00:00:00.000Z,f16ab7a0-03ea-4f92-88d6-ce203b828bc8
4136,6,LA,Louisiana                     ,0,2004-12-09T00:00:00.000Z,Major Disaster,Severe Storms and Tornadoes,Severe Storm,2004-11-23T00:00:00.000Z,2004-11-23T00:00:00.000Z,Turndown,2005-02-25T00:00:00.000Z,1,0,0,1,2004112902,2004-11-23T00:00:00.000Z,75e622b6-ffae-4230-8d11-2b422210514a
4137,6,TX,Texas                         ,0,2004-12-09T00:00:00.000Z,Major Disaster,Severe Storms and Flooding,Severe Storm,2004-11-15T00:00:00.000Z,2004-12-04T00:00:00.000Z,Turndown,2004-12-29T00:00:00.000Z,1,0,0,1,2004112201,2004-11-15T00:00:00.000Z,355d315f-bb86-4f6e-a649-03d44095b189
5003,4,SC,South Carolina                ,0,2005-01-11T00:00:00.000Z,Emergency,Hazardous Material Spill,Chemical,2005-01-06T00:00:00.000Z,,Turndown,2005-02-09T00:00:00.000Z,0,0,1,0,2005011104,2005-01-06T00:00:00.000Z,ff2b1239-cb4d-416e-a8a0-5334b11a9aa6
5036,8,MT,Montana                       ,0,2005-05-02T00:00:00.000Z,Major Disaster,Severe Ice and Wind Storms,Severe Storm,2005-04-09T00:00:00.000Z,2005-04-10T00:00:00.000Z,Turndown,2005-08-08T00:00:00.000Z,0,0,1,1,2005041301,2005-04-09T00:00:00.000Z,79fb798c-7045-4627-a905-b02942e8f53f
5037,1,NH,New Hampshire                 ,0,2005-04-28T00:00:00.000Z,Major Disaster,"Severe Storms, Flooding, Snow Melt, and Ice Jams",Severe Storm,2005-04-01T00:00:00.000Z,2005-04-05T00:00:00.000Z,Turndown,2005-08-26T00:00:00.000Z,0,0,1,1,2005041201,2005-03-29T00:00:00.000Z,df8b4e78-4fcd-41dc-b5f5-7baec7f67c2f
5044,1,MA,Massachusetts                 ,0,2005-06-10T00:00:00.000Z,Major Disaster,Red Tide,Fishing Losses,2005-04-27T00:00:00.000Z,,Turndown,2005-08-11T00:00:00.000Z,0,0,0,0,2005061302,2005-05-04T00:00:00.000Z,9cfdbab4-7df8-43a7-b260-366414537769
5052,1,ME,Maine                         ,0,2005-06-30T00:00:00.000Z,Major Disaster,Red Tide,Fishing Losses,2005-05-04T00:00:00.000Z,,Turndown,2005-07-27T00:00:00.000Z,0,0,0,0,2005061302,2005-05-04T00:00:00.000Z,060cee09-b4a8-4a7e-b1a7-d2e7dc787a6f
5063,2,NY,New York                      ,0,2005-07-22T00:00:00.000Z,Major Disaster,Severe Storms and Flooding,Severe Storm,2005-06-06T00:00:00.000Z,2005-07-18T00:00:00.000Z,Turndown,2005-12-08T00:00:00.000Z,1,0,1,1,2005061401,2005-06-06T00:00:00.000Z,1741c234-438a-477c-b9d6-627c4b558e5a
5064,2,NJ,New Jersey                    ,0,2005-07-21T00:00:00.000Z,Major Disaster,NJ - Severe Storms and Flooding,Severe Storm,2005-07-17T00:00:00.000Z,2005-07-17T00:00:00.000Z,Turndown,2005-10-03T00:00:00.000Z,1,0,0,1,2005072501,2005-07-17T00:00:00.000Z,d4091365-579f-4e50-9881-db62b91e5507
5072,1,NH,New Hampshire                 ,0,2005-08-04T00:00:00.000Z,Major Disaster,NH -- Rain and Flash Flooding,Flood,2005-06-06T00:00:00.000Z,2005-06-29T00:00:00.000Z,Turndown,2005-12-21T00:00:00.000Z,0,0,1,1,2005071201,2005-06-06T00:00:00.000Z,c1cb5ccd-602d-431f-be81-bae6338fee85
